County,2007,2008,2009,2010,2011,2012,2013
BARINGO,17157,19419,21406,24034,25343,27803,30606
BOMET,26413,29895,32954,36999,38997,42812,46556
BUNGOMA,53867,60969,67208,75458,78835,87557,95673
BUSIA,21524,24362,26855,30152,31398,35308,38710
ELGEYO MARAKWET,14676,16610,18310,20558,21981,24000,26238
EMBU,22488,25453,28058,31502,34494,35752,39293
GARISSA,4694,5313,5856,6575,6641,7606,8262
HOMABAY,39085,44238,48765,54751,56972,63569,70177
ISIOLO,2002,2266,2498,2805,2814,3309,3707
KAJIADO,9470,10718,11815,13265,13929,15538,16879
KAKAMEGA,61489,69595,76718,86135,93295,100265,109500
KERICHO,28393,32136,35425,39773,41964,46107,50254
KIAMBU,58410,66111,72877,81822,89065,94682,103284
KILIFI,22339,25285,27872,31293,32855,36233,39957
KIRINYAGA,22287,25225,27807,31220,33879,36073,39412
KISII,63499,71870,79226,88950,102580,104807,106590
KISUMU,36014,40762,44934,50450,53546,59318,64886
KITUI,37945,42948,47343,53154,55545,61323,66788
KWALE,14104,15964,17598,19757,20016,23543,25990
LAIKIPIA,14484,16393,18071,20289,21999,23509,25777
LAMU,2982,3375,3721,4177,4712,4854,5273
MACHAKOS,48280,54645,60238,67631,72459,78091,85463
MAKUENI,47962,54285,59841,67185,72479,76723,83887
MANDERA,5473,6195,6829,7667,7381,9194,9987
MARSABIT,2711,3069,3383,3798,3602,4232,4816
MERU,44818,50727,55918,62782,68068,72484,78897
MIGORI,30352,34354,37870,42518,43625,49568,54253
MOMBASA,9856,11155,12297,13806,15466,16046,17450
MURANG'A,53247,60267,66435,74589,82391,85297,92896
NAIROBI,26804,30337,33442,37547,41337,43092,54774
NAKURU,47782,54082,59617,66934,69321,77710,85169
NANDI,25363,28706,31644,35528,38136,40839,45524
NAROK,12300,13922,15347,17231,17192,20640,22537
NYAMIRA,24951,28240,31130,34951,36218,38305,50858
NYANDARUA,24156,27341,30139,33838,36933,39140,42813
NYERI,37373,42300,46630,52353,58388,60417,66050
SAMBURU,2456,2780,3064,3440,3245,4141,4773
SIAYA,33164,37536,41378,46457,48643,54212,58935
TAITA TAVETA,10002,11321,12480,14011,14111,16262,18046
TANA RIVER,2911,3294,3631,4077,4272,4664,5151
THARAKA NITHI,20567,23278,25661,28810,31285,33183,36355
TRANS NZOIA,25437,28791,31737,35633,36984,41061,45336
TURKANA,5015,5676,6257,7025,6824,7920,8846
UASIN GISHU,23444,26535,29251,32841,34810,38181,41895
VIHIGA,28916,32728,36077,40505,44322,46973,51148
WAJIR,4362,4937,5443,6111,5857,7175,7815
WEST POKOT,9278,10501,11576,12997,13512,15305,16772
